etf,distribucion,h_valor,cbr,qs,kz,m,q,cbr_wcor,qs_wcor,kz_wcor,m_wcor,q_wcor
fem,copula,400,-0.06975859448252922,-0.0774015291013276,-0.0735457085785114,-0.08254293077549857,-0.08450619586514226,-0.0481010671268468,-0.05251911040124552,-0.04984911735857728,-0.05501965773485762,-0.05697963913939655
ieem,copula,400,-0.03947399929275145,-0.04561165805365517,-0.04281319279365182,-0.05026808901528366,-0.05238187647607956,-0.02617655688826535,-0.02907711754282264,-0.02753560336278888,-0.03116409375793397,-0.03327281468631499
psrm,copula,400,-0.06760378801066833,-0.07514505149960642,-0.0713187606437523,-0.08020521901228196,-0.08239395267775314,-0.04621999403984115,-0.05049948195377873,-0.04789937443268677,-0.05292520235604432,-0.05510065730687139
vwo,copula,400,0.24061108912574952,0.23951407777753103,0.2381099410636841,0.2354452521321813,0.23322479919883263,0.22622408584496512,0.22882569219906715,0.22569808768587277,0.227221698382452,0.22501164720625877
eem,copula,450,-0.00162951525282027,-0.00653182861411209,-0.00458959543128697,-0.01069541163617033,-0.01246438158154893,0.00371981361972476,0.00159688077483045,0.00242735360229171,-4.359042574033668e-4,-0.00220214339946475
eemo,copula,450,-0.04661488305794205,-0.05364182069494758,-0.04950689990667555,-0.0575762087206873,-0.05891536868489924,-0.02522099600567701,-0.02922606981351073,-0.02649382501837116,-0.03106416530391307,-0.03240221163961507
eemv,copula,450,-0.06618287436081154,-0.07272642695913062,-0.06901692043308318,-0.0765897003051354,-0.07835659351868426,-0.04780958569788073,-0.05149561002584665,-0.04907660257562491,-0.05332797082631859,-0.05508820403554894
fem,copula,450,-0.06021060782793541,-0.06708716912937035,-0.0631167640288186,-0.07105965845827049,-0.07269982165750624,-0.04025279278929442,-0.04397347964324263,-0.04150348378227668,-0.04580135507029818,-0.04743731036491411
ieem,copula,450,-0.02656391905837587,-0.03199395660407531,-0.02920221242524671,-0.03568884003107468,-0.03731089374969482,-0.01523918766447922,-0.01773890172037054,-0.01628529713404858,-0.01937281612087013,-0.02098817309888556
psrm,copula,450,-0.0696581039326564,-0.07679350580810901,-0.07290480147549114,-0.08118118625149512,-0.08296119924499387,-0.04979117311973752,-0.0542298787099679,-0.05135770789700516,-0.05645993230400252,-0.05823078014620798
vwo,copula,450,0.2559355399011309,0.25561934953026144,0.2541942743022567,0.2526518633573821,0.2508840728798734,0.24070049305978145,0.243752008455158,0.24047416350951156,0.2426622478628607,0.24090214061675377
eem,copula,500,0.00422209064913891,-1.0735289396107578e-4,0.0017806905344115,-0.00354555840038258,-0.00500943703859388,0.00801124044966051,0.00613404961901294,0.00692850016280193,0.00442446233169662,0.00296214320259109
eemo,copula,500,-0.03844168858551355,-0.0445118086398435,-0.04076367697818618,-0.04766799584592822,-0.04872490494566783,-0.02084867235320421,-0.02437412330080754,-0.02189666075535454,-0.02588168489717297,-0.02693771700872639
