"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
0.687,0.686,0.682,0.679,0.68,0.673,0.675,0.67,0.67,0.671
0.168,0.165,0.163,0.158,0.155,0.149,0.149,0.146,0.144,0.141
0.142,0.142,0.141,0.139,0.137,0.122,0.126,0.122,0.125,0.123
0.32,0.318,0.316,0.31,0.308,0.309,0.31,0.307,0.306,0.304
0,-0.005,-0.003,-0.01,-0.012,0.005,0.003,0.004,0.001,-0.001
0.504,0.51,0.506,0.511,0.51,0.463,0.474,0.467,0.478,0.476
0.072,0.068,0.068,0.063,0.062,0.06,0.06,0.059,0.057,0.056
0.628,0.636,0.632,0.639,0.635,0.588,0.602,0.594,0.607,0.603
0.2,0.197,0.197,0.192,0.192,0.198,0.199,0.197,0.197,0.198
0.293,0.297,0.293,0.296,0.295,0.253,0.26,0.254,0.261,0.26
-0.191,-0.2,-0.194,-0.204,-0.208,-0.155,-0.16,-0.156,-0.162,-0.167
0.323,0.329,0.325,0.33,0.328,0.288,0.298,0.291,0.301,0.299
0.247,0.248,0.246,0.245,0.245,0.222,0.228,0.223,0.229,0.228
0.424,0.429,0.426,0.431,0.43,0.396,0.405,0.4,0.409,0.407
0.143,0.143,0.142,0.14,0.138,0.125,0.129,0.125,0.128,0.126
0.145,0.144,0.143,0.14,0.135,0.129,0.132,0.129,0.131,0.126
0.569,0.572,0.57,0.572,0.572,0.545,0.554,0.549,0.557,0.557
0.009,0,0.001,-0.01,-0.012,0.019,0.013,0.014,0.006,0.004
0.579,0.585,0.581,0.587,0.586,0.547,0.558,0.551,0.561,0.561
0.557,0.555,0.551,0.546,0.544,0.553,0.553,0.549,0.546,0.545
0.067,0.058,0.063,0.051,0.051,0.095,0.09,0.093,0.087,0.086
0.316,0.318,0.316,0.317,0.315,0.291,0.298,0.293,0.299,0.297
0.253,0.248,0.248,0.241,0.242,0.252,0.249,0.249,0.245,0.246
0.232,0.237,0.232,0.236,0.235,0.188,0.196,0.189,0.196,0.195
0.328,0.334,0.331,0.336,0.335,0.291,0.302,0.295,0.306,0.305
0.466,0.466,0.464,0.461,0.462,0.448,0.451,0.447,0.45,0.451
0.046,0.046,0.043,0.04,0.033,0.019,0.021,0.017,0.018,0.011
0.042,0.036,0.036,0.027,0.023,0.04,0.038,0.037,0.033,0.028
0.581,0.584,0.58,0.582,0.579,0.545,0.552,0.545,0.551,0.548
0.094,0.095,0.093,0.094,0.091,0.068,0.074,0.07,0.075,0.073
0.378,0.389,0.382,0.393,0.391,0.327,0.339,0.331,0.343,0.342
0.161,0.162,0.161,0.161,0.157,0.139,0.146,0.141,0.147,0.143
-0.019,-0.027,-0.022,-0.032,-0.034,0.008,0.006,0.008,0.005,0.003
0.186,0.186,0.185,0.183,0.182,0.17,0.174,0.171,0.174,0.173
0.197,0.198,0.196,0.196,0.194,0.169,0.174,0.169,0.174,0.173
0.297,0.302,0.299,0.303,0.3,0.262,0.272,0.265,0.275,0.272
0.039,0.038,0.037,0.035,0.032,0.024,0.026,0.024,0.025,0.022
-0.008,-0.011,-0.011,-0.016,-0.02,-0.016,-0.017,-0.018,-0.019,-0.023
0.186,0.186,0.185,0.184,0.182,0.165,0.17,0.166,0.17,0.168
0.418,0.422,0.419,0.423,0.422,0.388,0.397,0.391,0.4,0.399
0.124,0.123,0.123,0.121,0.119,0.105,0.109,0.105,0.109,0.107
-0.018,-0.026,-0.024,-0.035,-0.036,-0.011,-0.016,-0.014,-0.021,-0.022
0.104,0.103,0.102,0.099,0.098,0.085,0.088,0.084,0.086,0.084
0.241,0.246,0.242,0.246,0.245,0.201,0.21,0.203,0.211,0.21
0.302,0.297,0.297,0.289,0.289,0.299,0.298,0.297,0.293,0.293
0.126,0.122,0.123,0.117,0.117,0.121,0.12,0.12,0.118,0.118
0.324,0.321,0.315,0.309,0.309,0.302,0.301,0.295,0.291,0.291
0.147,0.149,0.146,0.148,0.147,0.116,0.121,0.117,0.121,0.12
0.132,0.128,0.128,0.123,0.12,0.128,0.129,0.127,0.126,0.124
0.656,0.666,0.662,0.672,0.669,0.614,0.629,0.621,0.636,0.634
0.14,0.136,0.136,0.13,0.127,0.134,0.134,0.132,0.131,0.129
0.563,0.563,0.56,0.558,0.56,0.547,0.551,0.546,0.549,0.551
0.509,0.507,0.503,0.498,0.496,0.501,0.502,0.497,0.495,0.494
0.277,0.272,0.271,0.263,0.261,0.268,0.266,0.264,0.26,0.257
0.517,0.521,0.518,0.52,0.519,0.489,0.497,0.491,0.499,0.498
0.153,0.154,0.152,0.153,0.149,0.124,0.129,0.124,0.129,0.126
0.445,0.469,0.458,0.485,0.487,0.347,0.373,0.357,0.385,0.387
