"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
0.034,0.032,0.033,0.03,0.025,0.034,0.035,0.034,0.036,0.031
-0.071,-0.079,-0.082,-0.094,-0.097,-0.075,-0.081,-0.083,-0.092,-0.095
0.113,0.11,0.111,0.107,0.104,0.108,0.109,0.108,0.109,0.106
0.722,0.722,0.718,0.715,0.716,0.708,0.712,0.706,0.708,0.708
0.131,0.126,0.125,0.117,0.112,0.125,0.122,0.121,0.116,0.112
0.183,0.183,0.181,0.181,0.179,0.155,0.16,0.155,0.16,0.158
0.373,0.373,0.37,0.367,0.365,0.352,0.356,0.352,0.354,0.352
0.01,0.006,0.006,0,-0.003,0.011,0.01,0.01,0.008,0.005
0.549,0.555,0.552,0.557,0.557,0.51,0.522,0.515,0.526,0.527
0.116,0.116,0.114,0.112,0.11,0.095,0.099,0.095,0.098,0.096
0.313,0.311,0.304,0.299,0.295,0.28,0.282,0.274,0.273,0.268
0.221,0.218,0.218,0.214,0.215,0.214,0.216,0.214,0.216,0.217
0.18,0.179,0.178,0.176,0.173,0.162,0.164,0.161,0.162,0.16
-0.087,-0.096,-0.09,-0.1,-0.103,-0.049,-0.054,-0.05,-0.055,-0.058
0.181,0.181,0.178,0.176,0.173,0.154,0.158,0.153,0.156,0.154
0.213,0.214,0.211,0.211,0.209,0.183,0.189,0.184,0.189,0.187
0.336,0.337,0.336,0.336,0.333,0.319,0.324,0.321,0.325,0.322
0.162,0.159,0.158,0.154,0.152,0.146,0.148,0.145,0.146,0.145
0.178,0.176,0.175,0.172,0.167,0.163,0.166,0.163,0.165,0.161
0.383,0.384,0.381,0.38,0.378,0.35,0.356,0.35,0.355,0.353
0.024,0.017,0.016,0.006,0.002,0.024,0.019,0.02,0.013,0.009
0.476,0.483,0.477,0.482,0.48,0.429,0.441,0.431,0.442,0.44
0.493,0.49,0.485,0.478,0.475,0.483,0.483,0.477,0.474,0.472
0.054,0.047,0.049,0.04,0.038,0.068,0.066,0.067,0.063,0.062
0.306,0.31,0.306,0.309,0.307,0.27,0.28,0.273,0.283,0.28
0.181,0.174,0.174,0.165,0.164,0.184,0.179,0.18,0.174,0.173
0.162,0.167,0.162,0.166,0.163,0.117,0.125,0.118,0.125,0.122
0.27,0.276,0.273,0.278,0.274,0.233,0.244,0.238,0.249,0.246
0.432,0.431,0.428,0.426,0.426,0.409,0.413,0.409,0.411,0.411
0.062,0.061,0.057,0.053,0.045,0.038,0.039,0.035,0.034,0.027
0.009,0.002,0.001,-0.01,-0.015,0.009,0.005,0.004,-0.002,-0.007
0.622,0.626,0.622,0.625,0.622,0.586,0.594,0.587,0.595,0.592
0.045,0.044,0.043,0.04,0.036,0.028,0.032,0.029,0.032,0.028
0.354,0.361,0.357,0.365,0.362,0.314,0.325,0.319,0.33,0.327
0.071,0.067,0.066,0.06,0.057,0.057,0.057,0.055,0.054,0.051
-0.113,-0.125,-0.12,-0.135,-0.138,-0.076,-0.083,-0.079,-0.087,-0.091
0.119,0.116,0.116,0.111,0.108,0.109,0.111,0.109,0.11,0.107
0.238,0.24,0.238,0.239,0.237,0.209,0.216,0.211,0.219,0.217
0.408,0.412,0.41,0.413,0.412,0.376,0.386,0.38,0.389,0.389
0.019,0.015,0.015,0.009,0.007,0.014,0.013,0.012,0.01,0.008
0.015,0.01,0.012,0.005,0.001,0.019,0.018,0.018,0.016,0.012
0.257,0.258,0.256,0.256,0.255,0.23,0.236,0.231,0.236,0.235
0.472,0.478,0.476,0.482,0.481,0.438,0.451,0.445,0.458,0.456
0.092,0.095,0.089,0.091,0.088,0.043,0.049,0.042,0.047,0.044
-0.029,-0.038,-0.036,-0.047,-0.05,-0.018,-0.023,-0.022,-0.029,-0.031
0.082,0.079,0.079,0.074,0.072,0.075,0.075,0.074,0.073,0.07
0.143,0.144,0.141,0.141,0.139,0.116,0.121,0.117,0.121,0.118
0.408,0.409,0.409,0.408,0.406,0.392,0.4,0.396,0.402,0.4
0.072,0.066,0.066,0.057,0.056,0.074,0.071,0.072,0.067,0.066
0.439,0.44,0.433,0.432,0.431,0.409,0.413,0.406,0.407,0.406
0.142,0.141,0.139,0.136,0.136,0.128,0.129,0.127,0.127,0.127
0.179,0.178,0.177,0.173,0.17,0.165,0.169,0.166,0.169,0.166
0.751,0.762,0.761,0.771,0.769,0.712,0.729,0.723,0.741,0.739
0.026,0.02,0.018,0.008,0.004,0.024,0.021,0.019,0.014,0.01
0.49,0.489,0.487,0.483,0.484,0.474,0.477,0.473,0.475,0.476
0.402,0.397,0.392,0.382,0.38,0.396,0.394,0.39,0.384,0.382
0.356,0.351,0.35,0.342,0.34,0.349,0.348,0.346,0.343,0.341
0.398,0.4,0.397,0.396,0.394,0.369,0.376,0.37,0.375,0.373
0.146,0.148,0.146,0.147,0.142,0.113,0.119,0.114,0.12,0.115
0.449,0.474,0.464,0.493,0.495,0.345,0.371,0.356,0.385,0.386
