"h","distribution","etf","m.q","kz.q","qs.q","cbr.q","kz.m","qs.m","cbr.m","qs.kz","cbr.kz","cbr.qs"
150,"t","eemv",0.0496695842489122,0.00064282273800349,0.000736195783527944,1.28400837399685e-05,0.0460216274797756,0.0484287922653686,0.00276460297665581,0.509259494258843,0.105687510960411,0.110680686284641
200,"t","eemv",0.149248487148009,0.0219746447957235,0.0350106501603392,0.00495438278526221,0.119212002285559,0.168157064992691,0.0346346228135134,0.628784509398496,0.240430729102567,0.187881931044689
250,"t","eemv",0.270246081073223,0.0869551713308926,0.128197267325785,0.0460216274797756,0.190527271715304,0.253543579324651,0.106583035297776,0.648007610658698,0.312967578966354,0.211794608863031
300,"t","eemv",0.329595026082744,0.120187827858806,0.188541130752991,0.0721553630030916,0.191192163000737,0.297557964970773,0.125151347560679,0.65343363932181,0.349275524168934,0.234390213380479
350,"t","eemv",0.357448725581598,0.143089973013606,0.234390213380479,0.101724952639367,0.222565036926363,0.330479936212088,0.155581506656553,0.666859657636794,0.368448263458471,0.247326424641887
400,"t","eemv",0.382349802390519,0.205481436813228,0.307792816589326,0.15970258924067,0.267022727943206,0.373064024755442,0.206177332409321,0.648007610658698,0.398289304441277,0.294181202793259
450,"t","eemv",0.393582253208186,0.258259768298828,0.329595026082744,0.218940636850375,0.308652663843544,0.40112070378706,0.269438422131263,0.622301921654586,0.409645544663434,0.334918633298545
500,"t","eemv",0.413448377299478,0.275117312389031,0.36293435957729,0.250424776274,0.314700788988883,0.413448377299478,0.28250428868168,0.62970766656958,0.428737587839368,0.340275620651126
100,"gauss","eemv",0.00309242172526067,6.14315525522347e-06,3.32913953520378e-07,1.27512680173758e-09,0.0277848396513901,0.00550555344800142,0.000210123096930154,0.214636503417064,0.0298751867878442,0.113005355798166
150,"gauss","eemv",0.0889049646076762,0.00464779244998144,0.00485024071253696,0.000322212842648231,0.0974502285746455,0.0987185761762543,0.0146018968684402,0.50828495902905,0.170005540088998,0.15970258924067
200,"gauss","eemv",0.153836994903278,0.0186261119194378,0.0333445644129467,0.00442115855681734,0.0937169631329887,0.139804171840461,0.0261126184164978,0.670404973917256,0.20827338527119,0.137105480212308
250,"gauss","eemv",0.268631974972605,0.0599471952648581,0.101291435547864,0.0219746447957235,0.154417054631153,0.244248684323811,0.0731681601543521,0.654334960985523,0.303509470666588,0.199964660032793
300,"gauss","eemv",0.289149531812862,0.0647441514810399,0.141440606326917,0.0295453495065327,0.145867690107175,0.275933368524702,0.0766227896904161,0.699047688360488,0.31556893052145,0.183956688197446
350,"gauss","eemv",0.36293435957729,0.144196741773427,0.242717592011271,0.0987185761762543,0.229915506714444,0.342966336053284,0.154417054631153,0.663299366695619,0.37398939187655,0.253543579324651
400,"gauss","eemv",0.367527360442297,0.191858474897275,0.280031393569238,0.141988957648837,0.257470591302479,0.377698078345414,0.20827338527119,0.647100298934062,0.393582253208186,0.284158697842984
450,"gauss","eemv",0.413448377299478,0.251981631559986,0.330479936212088,0.217500437513729,0.306934023604808,0.393582253208186,0.260634799680843,0.648007610658698,0.406798967427649,0.309513561522
500,"gauss","eemv",0.408696148320058,0.272676298421971,0.349275524168934,0.251981631559986,0.327828069296116,0.409645544663434,0.292499487871493,0.615784701019064,0.428737587839368,0.349275524168934
