"cbr","qs","kz","m","q","cbr_wcor","qs_wcor","kz_wcor","m_wcor","q_wcor"
0.185,0.183,0.178,0.171,0.164,0.162,0.167,0.164,0.166,0.159
-0.053,-0.062,-0.069,-0.085,-0.094,-0.054,-0.058,-0.062,-0.07,-0.079
0.099,0.097,0.088,0.081,0.072,0.066,0.069,0.062,0.062,0.053
0.066,0.054,0.053,0.036,0.03,0.093,0.089,0.089,0.082,0.076
0.105,0.096,0.091,0.075,0.071,0.113,0.11,0.107,0.1,0.096
-0.238,-0.255,-0.266,-0.291,-0.299,-0.213,-0.227,-0.232,-0.251,-0.259
0.312,0.311,0.301,0.293,0.282,0.28,0.286,0.278,0.279,0.268
0.132,0.12,0.111,0.09,0.08,0.146,0.14,0.136,0.123,0.113
0.215,0.212,0.2,0.19,0.182,0.197,0.198,0.189,0.185,0.177
0.411,0.397,0.394,0.372,0.363,0.448,0.443,0.442,0.432,0.423
0.319,0.317,0.312,0.305,0.297,0.291,0.295,0.29,0.292,0.283
0.018,0.019,0.016,0.015,0.004,-0.009,-0.004,-0.007,-0.004,-0.014
0.088,0.078,0.071,0.055,0.049,0.094,0.089,0.085,0.077,0.07
-0.049,-0.071,-0.081,-0.113,-0.123,0.006,-0.01,-0.013,-0.037,-0.047
0.511,0.512,0.499,0.492,0.483,0.47,0.477,0.465,0.467,0.457
0.108,0.099,0.095,0.081,0.077,0.116,0.113,0.111,0.105,0.101
-0.255,-0.268,-0.274,-0.293,-0.313,-0.235,-0.242,-0.246,-0.257,-0.277
0.102,0.095,0.092,0.08,0.071,0.109,0.108,0.107,0.103,0.094
0.014,0.009,0.002,-0.009,-0.018,0.003,0.003,-0.002,-0.006,-0.016
-0.024,-0.039,-0.04,-0.061,-0.066,0.022,0.012,0.014,0.001,-0.005
0.655,0.654,0.648,0.641,0.638,0.63,0.637,0.633,0.636,0.632
0.271,0.274,0.27,0.27,0.26,0.226,0.236,0.23,0.238,0.228
0.085,0.078,0.073,0.061,0.055,0.081,0.081,0.078,0.075,0.069
0.099,0.086,0.077,0.055,0.05,0.114,0.107,0.104,0.091,0.086
0.054,0.051,0.047,0.04,0.035,0.034,0.037,0.033,0.034,0.029
0.27,0.265,0.262,0.252,0.247,0.262,0.265,0.263,0.263,0.259
0.075,0.068,0.065,0.052,0.048,0.077,0.077,0.075,0.073,0.068
0.384,0.38,0.371,0.361,0.356,0.361,0.364,0.356,0.354,0.349
0.029,0.021,0.016,0.003,-0.002,0.031,0.029,0.027,0.022,0.017
-0.076,-0.088,-0.092,-0.11,-0.123,-0.05,-0.058,-0.059,-0.071,-0.084
-0.257,-0.273,-0.268,-0.287,-0.302,-0.191,-0.199,-0.195,-0.204,-0.219
0.222,0.223,0.216,0.212,0.208,0.188,0.194,0.187,0.19,0.187
0.086,0.08,0.076,0.064,0.059,0.083,0.083,0.081,0.078,0.072
0.151,0.143,0.136,0.122,0.117,0.151,0.151,0.145,0.14,0.135
-0.022,-0.03,-0.038,-0.053,-0.06,-0.023,-0.027,-0.032,-0.04,-0.047
0.064,0.055,0.048,0.032,0.024,0.062,0.059,0.055,0.048,0.04
0.057,0.042,0.031,0.007,-0.004,0.079,0.068,0.064,0.046,0.035
0.005,0.001,-0.009,-0.019,-0.036,-0.02,-0.018,-0.026,-0.029,-0.046
0.235,0.239,0.234,0.234,0.222,0.179,0.191,0.184,0.194,0.182
0.375,0.373,0.364,0.355,0.347,0.356,0.361,0.354,0.354,0.347
-0.111,-0.124,-0.128,-0.146,-0.155,-0.087,-0.094,-0.094,-0.105,-0.114
0.178,0.177,0.172,0.166,0.162,0.144,0.151,0.146,0.15,0.146
0.085,0.075,0.074,0.06,0.048,0.102,0.1,0.099,0.094,0.082
-0.021,-0.028,-0.031,-0.043,-0.05,-0.011,-0.014,-0.015,-0.02,-0.027
0.096,0.097,0.092,0.089,0.081,0.057,0.062,0.057,0.061,0.053
0.127,0.122,0.11,0.099,0.091,0.098,0.097,0.088,0.082,0.075
0.195,0.19,0.179,0.168,0.157,0.178,0.177,0.169,0.164,0.153
-0.001,-0.012,-0.022,-0.041,-0.053,0.002,-0.003,-0.009,-0.021,-0.033
0.429,0.423,0.419,0.408,0.398,0.424,0.425,0.422,0.42,0.411
-0.002,-0.007,-0.012,-0.021,-0.03,-0.014,-0.014,-0.017,-0.02,-0.028
0.099,0.094,0.091,0.081,0.069,0.098,0.101,0.097,0.097,0.085
0.168,0.167,0.164,0.159,0.154,0.148,0.152,0.15,0.153,0.148
-0.208,-0.226,-0.231,-0.256,-0.265,-0.158,-0.172,-0.17,-0.189,-0.198
-0.054,-0.064,-0.071,-0.088,-0.096,-0.048,-0.054,-0.056,-0.066,-0.075
0.109,0.107,0.104,0.099,0.095,0.082,0.085,0.082,0.084,0.08
0.16,0.167,0.163,0.168,0.155,0.094,0.108,0.101,0.116,0.103
-0.099,-0.107,-0.113,-0.128,-0.136,-0.094,-0.099,-0.103,-0.111,-0.119
-0.035,-0.045,-0.049,-0.063,-0.072,-0.021,-0.027,-0.028,-0.037,-0.045
0.049,0.04,0.033,0.018,0.01,0.052,0.047,0.044,0.034,0.026
0.295,0.299,0.294,0.295,0.288,0.243,0.254,0.248,0.257,0.251
0.018,0.009,0.009,-0.006,-0.015,0.045,0.041,0.044,0.038,0.029
-0.096,-0.104,-0.109,-0.123,-0.132,-0.093,-0.097,-0.099,-0.107,-0.116
0.002,-0.005,-0.01,-0.023,-0.033,0,-0.001,-0.005,-0.009,-0.018
0.033,0.03,0.027,0.021,0.015,0.021,0.023,0.021,0.021,0.015
0.079,0.074,0.066,0.055,0.044,0.055,0.057,0.052,0.049,0.039
0.07,0.062,0.06,0.047,0.042,0.081,0.08,0.079,0.076,0.071
0.224,0.223,0.212,0.206,0.196,0.186,0.192,0.18,0.181,0.172
0.084,0.079,0.078,0.07,0.064,0.083,0.084,0.083,0.083,0.077
-0.032,-0.045,-0.056,-0.078,-0.084,-0.026,-0.035,-0.041,-0.056,-0.062
0.175,0.172,0.163,0.153,0.143,0.144,0.147,0.14,0.139,0.129
0.103,0.099,0.092,0.083,0.076,0.082,0.083,0.077,0.075,0.069
0.318,0.312,0.3,0.286,0.275,0.3,0.299,0.291,0.285,0.274
0.28,0.278,0.265,0.255,0.245,0.242,0.247,0.235,0.234,0.224
0.372,0.369,0.364,0.357,0.349,0.347,0.35,0.346,0.347,0.34
0.155,0.151,0.14,0.129,0.121,0.122,0.124,0.115,0.112,0.104
-0.047,-0.054,-0.06,-0.072,-0.088,-0.052,-0.055,-0.058,-0.064,-0.08
0.375,0.397,0.394,0.422,0.427,0.265,0.286,0.277,0.302,0.307
